"No.","FREQUENCY(Hz)","LS[H]","Z[ohm]"
"332","2.2801E+03","1.401596E-06","44.677E-03"
"333","2.3178E+03","1.397811E-06","44.806E-03"
"334","2.3561E+03","1.395548E-06","44.950E-03"
"335","2.3951E+03","1.391685E-06","45.089E-03"
"336","2.4347E+03","1.388766E-06","45.240E-03"
"337","2.4750E+03","1.386051E-06","45.393E-03"
"338","2.5159E+03","1.383263E-06","45.556E-03"
"339","2.5575E+03","1.380419E-06","45.707E-03"
"340","2.5998E+03","1.377648E-06","45.870E-03"
"341","2.6428E+03","1.375254E-06","46.042E-03"
"342","2.6865E+03","1.373064E-06","46.219E-03"
"343","2.7309E+03","1.370787E-06","46.380E-03"
"344","2.7761E+03","1.368968E-06","46.591E-03"
"345","2.8220E+03","1.366803E-06","46.769E-03"
"346","2.8687E+03","1.364510E-06","46.978E-03"
"347","2.9161E+03","1.362555E-06","47.175E-03"
"348","2.9643E+03","1.360198E-06","47.392E-03"
"349","3.0134E+03","1.357949E-06","47.594E-03"
"350","3.0632E+03","1.356107E-06","47.812E-03"
"351","3.1139E+03","1.354189E-06","48.032E-03"
"352","3.1654E+03","1.351715E-06","48.259E-03"
"353","3.2177E+03","1.350172E-06","48.497E-03"
"354","3.2709E+03","1.348669E-06","48.742E-03"
"355","3.3250E+03","1.346863E-06","48.988E-03"
"356","3.3800E+03","1.345439E-06","49.251E-03"
"357","3.4359E+03","1.343864E-06","49.521E-03"
"358","3.4927E+03","1.342063E-06","49.785E-03"
"359","3.5505E+03","1.340849E-06","50.056E-03"
"360","3.6092E+03","1.339039E-06","50.348E-03"
"361","3.6689E+03","1.337311E-06","50.637E-03"
"362","3.7296E+03","1.336300E-06","50.939E-03"
"363","3.7913E+03","1.334806E-06","51.245E-03"
"364","3.8540E+03","1.333523E-06","51.559E-03"
"365","3.9177E+03","1.332085E-06","51.877E-03"
"366","3.9825E+03","1.330961E-06","52.222E-03"
"367","4.0484E+03","1.329455E-06","52.559E-03"
"368","4.1153E+03","1.328489E-06","52.913E-03"
"369","4.1834E+03","1.326882E-06","53.269E-03"
"370","4.2526E+03","1.325724E-06","53.633E-03"
"371","4.3229E+03","1.324717E-06","54.013E-03"
"372","4.3944E+03","1.324120E-06","54.405E-03"
"373","4.4671E+03","1.322862E-06","54.805E-03"
"374","4.5409E+03","1.321599E-06","55.213E-03"
"375","4.6160E+03","1.320721E-06","55.622E-03"
"376","4.6924E+03","1.319244E-06","56.042E-03"
"377","4.7700E+03","1.318886E-06","56.496E-03"
"378","4.8489E+03","1.317694E-06","56.937E-03"
"379","4.9291E+03","1.316982E-06","57.400E-03"
"380","5.0106E+03","1.315732E-06","57.862E-03"
"381","5.0934E+03","1.315109E-06","58.354E-03"
"382","5.1777E+03","1.313783E-06","58.834E-03"
"383","5.2633E+03","1.312919E-06","59.339E-03"
"384","5.3503E+03","1.312054E-06","59.861E-03"
"385","5.4388E+03","1.311359E-06","60.384E-03"
"386","5.5288E+03","1.310421E-06","60.926E-03"
"387","5.6202E+03","1.309674E-06","61.488E-03"
"388","5.7132E+03","1.309223E-06","62.056E-03"
"389","5.8077E+03","1.308417E-06","62.636E-03"
"390","5.9037E+03","1.307417E-06","63.224E-03"
"391","6.0013E+03","1.306912E-06","63.834E-03"
"392","6.1006E+03","1.306046E-06","64.444E-03"
"393","6.2015E+03","1.305544E-06","65.090E-03"
"394","6.3040E+03","1.304743E-06","65.737E-03"
"395","6.4083E+03","1.304281E-06","66.407E-03"
"396","6.5143E+03","1.303346E-06","67.074E-03"
"397","6.6220E+03","1.302537E-06","67.761E-03"
"398","6.7315E+03","1.302310E-06","68.484E-03"
"399","6.8429E+03","1.301494E-06","69.198E-03"
"400","6.9560E+03","1.300929E-06","69.949E-03"
"401","7.0711E+03","1.300378E-06","70.705E-03"
"402","7.1880E+03","1.299854E-06","71.474E-03"
"403","7.3069E+03","1.299229E-06","72.259E-03"
"404","7.4277E+03","1.298449E-06","73.061E-03"
"405","7.5506E+03","1.298122E-06","73.891E-03"
"406","7.6754E+03","1.297810E-06","74.737E-03"
"407","7.8024E+03","1.296832E-06","75.581E-03"
"408","7.9314E+03","1.296392E-06","76.456E-03"
"409","8.0626E+03","1.295767E-06","77.356E-03"
"410","8.1959E+03","1.295316E-06","78.259E-03"
"411","8.3315E+03","1.294795E-06","79.193E-03"
"412","8.4693E+03","1.294413E-06","80.146E-03"
"413","8.6093E+03","1.293988E-06","81.114E-03"
"414","8.7517E+03","1.293477E-06","82.101E-03"
"415","8.8965E+03","1.292954E-06","83.120E-03"
"416","9.0436E+03","1.292594E-06","84.145E-03"
"417","9.1932E+03","1.291878E-06","85.183E-03"
"418","9.3452E+03","1.291542E-06","86.259E-03"
"419","9.4997E+03","1.291016E-06","87.351E-03"
"420","9.6569E+03","1.290769E-06","88.464E-03"
"421","9.8166E+03","1.290170E-06","89.598E-03"
"422","9.9789E+03","1.289888E-06","90.763E-03"
"423","10.144E+03","1.289837E-06","91.962E-03"
"424","10.312E+03","1.288227E-06","93.087E-03"
"425","10.482E+03","1.288820E-06","94.392E-03"
"426","10.656E+03","1.287970E-06","95.618E-03"
"427","10.832E+03","1.287303E-06","96.863E-03"
"428","11.011E+03","1.287696E-06","98.203E-03"
"429","11.193E+03","1.286384E-06","99.472E-03"
"430","11.378E+03","1.286542E-06","100.836E-03"
"431","11.566E+03","1.286830E-06","102.246E-03"
"432","11.758E+03","1.285887E-06","103.616E-03"
"433","11.952E+03","1.285714E-06","105.064E-03"
"434","12.150E+03","1.285600E-06","106.534E-03"
"435","12.351E+03","1.285111E-06","107.998E-03"
"436","12.555E+03","1.284989E-06","109.523E-03"
"437","12.763E+03","1.284100E-06","111.022E-03"
"438","12.974E+03","1.283769E-06","112.588E-03"
"439","13.188E+03","1.283710E-06","114.205E-03"
"440","13.406E+03","1.283361E-06","115.829E-03"
"441","13.628E+03","1.282913E-06","117.470E-03"
"442","13.853E+03","1.282550E-06","119.141E-03"
"443","14.083E+03","1.282195E-06","120.856E-03"
"444","14.315E+03","1.281873E-06","122.609E-03"
"445","14.552E+03","1.281416E-06","124.371E-03"
"446","14.793E+03","1.281036E-06","126.178E-03"
"447","15.038E+03","1.280905E-06","128.041E-03"
"448","15.286E+03","1.280735E-06","129.914E-03"
"449","15.539E+03","1.280327E-06","131.820E-03"
"450","15.796E+03","1.279949E-06","133.758E-03"
"451","16.057E+03","1.279500E-06","135.721E-03"
"452","16.323E+03","1.279282E-06","137.745E-03"
"453","16.593E+03","1.279079E-06","139.802E-03"
"454","16.867E+03","1.278741E-06","141.882E-03"
"455","17.146E+03","1.278475E-06","144.003E-03"
"456","17.430E+03","1.278205E-06","146.169E-03"
"457","17.718E+03","1.277936E-06","148.364E-03"
"458","18.011E+03","1.277799E-06","150.615E-03"
"459","18.309E+03","1.277550E-06","152.895E-03"
"460","18.612E+03","1.277145E-06","155.196E-03"
"461","18.919E+03","1.276704E-06","157.535E-03"
"462","19.232E+03","1.276514E-06","159.935E-03"
"463","19.550E+03","1.276133E-06","162.355E-03"
"464","19.874E+03","1.275964E-06","164.866E-03"
"465","20.202E+03","1.275519E-06","167.359E-03"
"466","20.536E+03","1.275203E-06","169.915E-03"
"467","20.876E+03","1.275079E-06","172.553E-03"
"468","21.221E+03","1.274900E-06","175.222E-03"
"469","21.572E+03","1.274658E-06","177.929E-03"
"470","21.929E+03","1.274462E-06","180.687E-03"
"471","22.292E+03","1.274106E-06","183.475E-03"
"472","22.660E+03","1.273814E-06","186.316E-03"
"473","23.035E+03","1.273488E-06","189.196E-03"
"474","23.416E+03","1.273342E-06","192.158E-03"
"475","23.803E+03","1.273061E-06","195.141E-03"
"476","24.197E+03","1.272804E-06","198.192E-03"
"477","24.597E+03","1.272629E-06","201.297E-03"
"478","25.004E+03","1.272300E-06","204.442E-03"
"479","25.418E+03","1.272100E-06","207.650E-03"
"480","25.838E+03","1.271968E-06","210.928E-03"
"481","26.265E+03","1.271751E-06","214.243E-03"
"482","26.700E+03","1.271366E-06","217.598E-03"
"483","27.141E+03","1.271183E-06","221.030E-03"
"484","27.590E+03","1.271071E-06","224.533E-03"
"485","28.046E+03","1.270800E-06","228.074E-03"
"486","28.510E+03","1.270401E-06","231.651E-03"
"487","28.982E+03","1.270177E-06","235.324E-03"
"488","29.461E+03","1.270197E-06","239.095E-03"
"489","29.948E+03","1.269862E-06","242.866E-03"
"490","30.444E+03","1.269600E-06","246.721E-03"
"491","30.947E+03","1.269407E-06","250.645E-03"
"492","31.459E+03","1.269114E-06","254.614E-03"
"493","31.979E+03","1.268852E-06","258.661E-03"
"494","32.508E+03","1.268696E-06","262.795E-03"
"495","33.046E+03","1.268428E-06","266.983E-03"
"496","33.592E+03","1.268097E-06","271.214E-03"
"497","34.148E+03","1.268029E-06","275.584E-03"
"498","34.712E+03","1.267812E-06","279.983E-03"
"499","35.287E+03","1.267657E-06","284.480E-03"
"500","35.870E+03","1.267354E-06","289.015E-03"
"501","36.463E+03","1.267137E-06","293.640E-03"
"502","37.066E+03","1.266914E-06","298.341E-03"
"503","37.679E+03","1.266694E-06","303.130E-03"
"504","38.303E+03","1.266471E-06","308.000E-03"
"505","38.936E+03","1.266352E-06","312.965E-03"
"506","39.580E+03","1.266081E-06","317.981E-03"
"507","40.234E+03","1.265882E-06","323.093E-03"
"508","40.900E+03","1.265654E-06","328.291E-03"
"509","41.576E+03","1.265500E-06","333.588E-03"
"510","42.264E+03","1.265207E-06","338.943E-03"
"511","42.963E+03","1.265021E-06","344.412E-03"
"512","43.673E+03","1.264940E-06","349.995E-03"
"513","44.396E+03","1.264656E-06","355.625E-03"
"514","45.130E+03","1.264513E-06","361.382E-03"
"515","45.876E+03","1.264198E-06","367.182E-03"
"516","46.635E+03","1.264081E-06","373.143E-03"
"517","47.406E+03","1.263896E-06","379.177E-03"
"518","48.190E+03","1.263652E-06","385.295E-03"
"519","48.987E+03","1.263396E-06","391.511E-03"
"520","49.797E+03","1.263152E-06","397.830E-03"
"521","50.621E+03","1.262973E-06","404.283E-03"
"522","51.458E+03","1.262740E-06","410.816E-03"
"523","52.309E+03","1.262553E-06","417.479E-03"
