Evaluation,x_t,y_c1,y_c2,y_t,z_c1,Cost
294,15.654299mm,18.752055mm,10.678653mm,0.10324395mm,40mm,0.41258
567,20mm,18.045618mm,12mm,0.097017221mm,40mm,0.41267
275,17.977151mm,19.0577mm,12mm,0.14mm,40mm,0.41273
564,19.998914mm,18.286031mm,11.999629mm,0.12055257mm,39.380715mm,0.4128
566,19.566098mm,19.468898mm,11.994302mm,0.10174039mm,37.198652mm,0.41403
121,19.122128mm,18.820933mm,11.413126mm,0.11151254mm,38.868762mm,0.41419
544,13.905354mm,19.41735mm,11.516417mm,0.14mm,40mm,0.4142
144,17.048398mm,19.382381mm,11.838524mm,0.13999942mm,39.38617mm,0.41469
923,16.196066mm,19.643089mm,11.416155mm,0.13999409mm,39.849143mm,0.41496
46,15.097284mm,18.132938mm,12mm,0.13884426mm,40mm,0.41518
335,15.007238mm,20mm,10.248188mm,0.098969878mm,40mm,0.41523
913,19.855525mm,19.416056mm,11.911556mm,0.13839404mm,39.669718mm,0.41541
149,13.100616mm,19.188646mm,11.883577mm,0.086753989mm,39.559853mm,0.41547
55,19.451901mm,18.773561mm,11.86666mm,0.1351122mm,40mm,0.41562
745,19.964278mm,19.977827mm,11.759279mm,0.13517151mm,38.75787mm,0.41569
555,19.565453mm,19.386444mm,11.875566mm,0.13750266mm,39.379859mm,0.4161
150,12.798728mm,19.95913mm,11.88315mm,0.084805544mm,39.447047mm,0.41621
345,19.124526mm,18.758581mm,11.239046mm,0.10975619mm,39.088191mm,0.41663
325,19.155013mm,19.12976mm,11.880381mm,0.13884558mm,39.661061mm,0.41666
291,18.146221mm,18.779616mm,10.9957mm,0.096337912mm,40mm,0.41683
956,13.558538mm,18.749641mm,10.686671mm,0.11620692mm,38.778317mm,0.41684
562,15.746941mm,19.837967mm,12mm,0.095589594mm,35.479551mm,0.41695
62,19.997128mm,18.820933mm,11.413126mm,0.11151254mm,38.868762mm,0.41698
346,13.982943mm,19.375mm,11.446634mm,0.14mm,39.596526mm,0.41714
571,19.562519mm,19.831845mm,10.904624mm,0.12411449mm,39.54333mm,0.41725
348,13.982943mm,19.375mm,11.446634mm,0.13646447mm,38.712642mm,0.41762
930,11.173952mm,19.39054mm,11.933102mm,0.13277723mm,39.397789mm,0.41783
981,11.641113mm,19.500204mm,11.959805mm,0.11598401mm,36.163272mm,0.41843
948,9.9814963mm,19.598873mm,11.602916mm,0.11315731mm,40mm,0.41859
134,13.041258mm,19.549862mm,11.816741mm,0.11337538mm,35.061207mm,0.41902
973,16.196066mm,18.921401mm,11.416155mm,0.13710734mm,39.127456mm,0.41907
568,20mm,18.571651mm,12mm,0.10316353mm,37.772753mm,0.41922
355,12.419069mm,20mm,11.074863mm,0.14mm,40mm,0.41924
687,14.619344mm,19.853563mm,10.728722mm,0.14mm,39.988026mm,0.41926
140,13.832446mm,19.382105mm,10.757634mm,0.13286379mm,39.376937mm,0.41937
292,19.999526mm,18.758581mm,11.239046mm,0.10975619mm,39.088191mm,0.41965
35,19.244937mm,19.111583mm,11.785209mm,0.13552742mm,38.832956mm,0.41994
969,19.195322mm,18.743802mm,11.716597mm,0.10597726mm,37.434537mm,0.42022
933,19.814041mm,18.743802mm,11.893374mm,0.10597726mm,37.434537mm,0.42039
282,12.482414mm,19.069833mm,12mm,0.14mm,39.177762mm,0.4209
326,19.506614mm,19.131354mm,11.992377mm,0.13846374mm,38.753448mm,0.4209
443,16.669074mm,16.432654mm,11.969382mm,0.10529421mm,39.412222mm,0.42105
169,11.666231mm,19.304153mm,11.698972mm,0.13585852mm,39.237118mm,0.42108
815,17.750951mm,18.437202mm,11.964134mm,0.10531242mm,36.670198mm,0.42127
334,16.701622mm,19.1276mm,10.57089mm,0.09929943mm,38.781299mm,0.42186
688,14.619344mm,19.492719mm,10.728722mm,0.13855662mm,39.627182mm,0.42316
301,18.449918mm,18.769758mm,11.752962mm,0.10077232mm,36.752734mm,0.42341
57,11.666231mm,19.304153mm,11.875748mm,0.13939405mm,39.237118mm,0.42411
932,19.709554mm,17.005678mm,11.896127mm,0.10169999mm,39.557827mm,0.42499
331,18.308088mm,19.199459mm,10.846664mm,0.10840361mm,37.748835mm,0.42541
673,13.032269mm,19.999059mm,9.8169929mm,0.097183581mm,39.999938mm,0.42554
560,10.433145mm,19.396381mm,12mm,0.093630112mm,39.302367mm,0.42573
812,11.558737mm,19.695815mm,10.987727mm,0.088631732mm,40mm,0.42581
288,19.999751mm,19.212187mm,10.689224mm,0.11716133mm,38.932064mm,0.42677
940,19.998278mm,18.403929mm,11.880822mm,0.1254353mm,37.622971mm,0.4275
329,18.751243mm,20mm,9.9104672mm,0.10783766mm,40mm,0.42781
